Produto,Categoria,Data da venda,Loja,Cidade,Quantidade,Valor da venda
Mesa Escritório,Móveis,2023-06-27,Loja Sul,Rio de Janeiro,3,7331.36
Notebook,Eletrônicos,2023-07-21,Loja Nova Iguaçu,Nova Iguaçu,2,1408.4
Monitor,Eletrônicos,2024-01-10,Loja Norte,Rio de Janeiro,3,8031.65
Impressora,Periféricos,2025-03-01,Loja Niterói,Niterói,1,851.38
HD Externo,Armazenamento,2023-04-27,Loja Teresópolis,Teresópolis,2,3796.45
Mouse,Acessórios,2025-10-14,Loja Duque,Duque de Caxias,3,12286.3
Mouse,Acessórios,2025-04-21,Loja Petrópolis,Petrópolis,4,5398.49
Cadeira Gamer,Móveis,2024-05-11,Loja Nova Iguaçu,Nova Iguaçu,2,570.43
Tablet,Eletrônicos,2024-08-27,Loja Centro,Rio de Janeiro,3,6911.48
Roteador,Redes,2024-05-21,Loja Sul,Rio de Janeiro,2,4300.03
Teclado,Acessórios,2024-09-11,Loja Nova Iguaçu,Nova Iguaçu,3,7684.8
Smartphone,Eletrônicos,2023-12-03,Loja Duque,Duque de Caxias,4,6397.9
Teclado,Acessórios,2025-09-04,Loja Sul,Rio de Janeiro,3,299.56
Webcam,Periféricos,2024-06-30,Loja Centro,Rio de Janeiro,3,5991.29
Smartphone,Eletrônicos,2023-01-03,Loja Niterói,Niterói,3,3579.48
Teclado,Acessórios,2025-01-16,Loja Sul,Rio de Janeiro,1,4054.72
Notebook,Eletrônicos,2024-09-19,Loja Duque,Duque de Caxias,4,13503.46
Tablet,Eletrônicos,2023-02-15,Loja São Gonçalo,São Gonçalo,4,9127.89
Mesa Escritório,Móveis,2024-07-26,Loja Nova Iguaçu,Nova Iguaçu,2,2257.25
Notebook,Eletrônicos,2024-10-01,Loja São Gonçalo,São Gonçalo,2,4859.07
Mouse,Acessórios,2025-05-02,Loja São Gonçalo,São Gonçalo,3,4187.13
Teclado,Acessórios,2024-01-30,Loja Petrópolis,Petrópolis,4,15447.76
Roteador,Redes,2023-02-19,Loja Teresópolis,Teresópolis,5,6700.68
Mouse,Acessórios,2025-09-26,Loja Teresópolis,Teresópolis,1,2897.63
Smartwatch,Eletrônicos,2023-01-03,Loja Barra,Rio de Janeiro,4,6408.79
Mouse,Acessórios,2023-10-02,Loja São Gonçalo,São Gonçalo,2,7293.2
Tablet,Eletrônicos,2023-11-25,Loja Niterói,Niterói,3,9621.66
Webcam,Periféricos,2023-08-05,Loja São Gonçalo,São Gonçalo,5,6817.9
Mesa Escritório,Móveis,2023-11-30,Loja São Gonçalo,São Gonçalo,5,23292.73
Smartwatch,Eletrônicos,2025-06-18,Loja Niterói,Niterói,2,4969.38
Smartwatch,Eletrônicos,2023-07-15,Loja Sul,Rio de Janeiro,4,5100.62
HD Externo,Armazenamento,2023-01-09,Loja Centro,Rio de Janeiro,1,4699.34
Tablet,Eletrônicos,2024-01-28,Loja Duque,Duque de Caxias,4,13209.89
Pendrive,Armazenamento,2023-11-27,Loja Norte,Rio de Janeiro,3,12334.37
Monitor,Eletrônicos,2025-07-04,Loja Niterói,Niterói,3,7231.04
Notebook,Eletrônicos,2025-04-04,Loja Norte,Rio de Janeiro,5,10679.08
Headset,Acessórios,2023-07-29,Loja Duque,Duque de Caxias,4,8102.36
Tablet,Eletrônicos,2024-03-03,Loja Barra,Rio de Janeiro,1,3493.42
Roteador,Redes,2023-12-14,Loja Petrópolis,Petrópolis,2,7707.16
Teclado,Acessórios,2025-11-16,Loja Niterói,Niterói,1,149.06
Cadeira Gamer,Móveis,2023-10-28,Loja Barra,Rio de Janeiro,2,477.37
Cadeira Gamer,Móveis,2023-06-15,Loja Barra,Rio de Janeiro,4,18529.88
Cadeira Gamer,Móveis,2023-03-04,Loja Niterói,Niterói,3,13965.71
HD Externo,Armazenamento,2023-08-10,Loja Petrópolis,Petrópolis,4,9434.59
Cadeira Gamer,Móveis,2025-09-21,Loja Barra,Rio de Janeiro,2,5978.13
Smartphone,Eletrônicos,2024-12-22,Loja Petrópolis,Petrópolis,3,4506.93
Mouse,Acessórios,2025-12-30,Loja Duque,Duque de Caxias,4,638.7
Mesa Escritório,Móveis,2025-05-23,Loja Barra,Rio de Janeiro,4,13043.18
Roteador,Redes,2025-06-12,Loja Teresópolis,Teresópolis,3,14702.79
Headset,Acessórios,2025-11-05,Loja Norte,Rio de Janeiro,1,3323.26
Webcam,Periféricos,2023-10-11,Loja Duque,Duque de Caxias,1,3037.98
Monitor,Eletrônicos,2024-09-03,Loja Niterói,Niterói,5,22277.97
Impressora,Periféricos,2023-03-27,Loja Petrópolis,Petrópolis,3,11840.67
HD Externo,Armazenamento,2024-05-15,Loja Barra,Rio de Janeiro,4,15841.5
Mouse,Acessórios,2024-11-27,Loja Centro,Rio de Janeiro,2,530.22
Cadeira Gamer,Móveis,2024-10-27,Loja São Gonçalo,São Gonçalo,5,18463.57
HD Externo,Armazenamento,2023-05-29,Loja São Gonçalo,São Gonçalo,2,5649.34
Roteador,Redes,2025-08-23,Loja Duque,Duque de Caxias,5,21263.6
Notebook,Eletrônicos,2025-02-12,Loja Petrópolis,Petrópolis,4,19570.84
Impressora,Periféricos,2025-11-26,Loja Petrópolis,Petrópolis,5,5137.79
Roteador,Redes,2023-04-17,Loja Nova Iguaçu,Nova Iguaçu,4,4264.38
Cadeira Gamer,Móveis,2025-07-22,Loja Sul,Rio de Janeiro,2,2690.09
Impressora,Periféricos,2025-01-01,Loja Petrópolis,Petrópolis,2,7807.78
Webcam,Periféricos,2023-06-07,Loja Norte,Rio de Janeiro,1,4120.26
Monitor,Eletrônicos,2023-11-21,Loja São Gonçalo,São Gonçalo,3,10149.86
Mesa Escritório,Móveis,2023-03-04,Loja Barra,Rio de Janeiro,5,5208.68
Webcam,Periféricos,2024-02-15,Loja Norte,Rio de Janeiro,4,15015.88
Teclado,Acessórios,2025-01-02,Loja Teresópolis,Teresópolis,1,1140.21
Cadeira Gamer,Móveis,2025-10-29,Loja Barra,Rio de Janeiro,3,6257.1
Mesa Escritório,Móveis,2023-02-01,Loja Petrópolis,Petrópolis,3,12697.51
Monitor,Eletrônicos,2025-04-09,Loja Barra,Rio de Janeiro,4,7527.77
Impressora,Periféricos,2024-04-08,Loja Centro,Rio de Janeiro,3,7152.37
Mesa Escritório,Móveis,2023-03-19,Loja Norte,Rio de Janeiro,4,4398.15
Tablet,Eletrônicos,2023-07-24,Loja Norte,Rio de Janeiro,5,756.81
Notebook,Eletrônicos,2025-05-08,Loja Petrópolis,Petrópolis,3,8747.22
Smartphone,Eletrônicos,2025-07-15,Loja Centro,Rio de Janeiro,4,16499.88
Notebook,Eletrônicos,2024-03-19,Loja Duque,Duque de Caxias,2,4780.65
Roteador,Redes,2023-08-28,Loja Duque,Duque de Caxias,5,17008.26
Smartwatch,Eletrônicos,2023-09-26,Loja Nova Iguaçu,Nova Iguaçu,4,5219.32
Mouse,Acessórios,2024-11-24,Loja Barra,Rio de Janeiro,2,5163.22
Smartphone,Eletrônicos,2025-12-06,Loja Petrópolis,Petrópolis,2,2587.95
Smartwatch,Eletrônicos,2024-12-24,Loja Nova Iguaçu,Nova Iguaçu,3,11165.83
Roteador,Redes,2023-10-24,Loja Duque,Duque de Caxias,4,19557.95
Smartphone,Eletrônicos,2025-07-11,Loja Centro,Rio de Janeiro,2,5544.79
Monitor,Eletrônicos,2025-08-19,Loja Niterói,Niterói,5,7767.39
Smartphone,Eletrônicos,2025-07-27,Loja Teresópolis,Teresópolis,3,14361.33
Impressora,Periféricos,2023-07-18,Loja Petrópolis,Petrópolis,4,9507.9
Smartphone,Eletrônicos,2025-09-08,Loja Niterói,Niterói,3,5405.5
Teclado,Acessórios,2023-12-14,Loja Duque,Duque de Caxias,1,4358.48
Headset,Acessórios,2023-05-01,Loja Duque,Duque de Caxias,3,4978.22
Mesa Escritório,Móveis,2025-02-23,Loja São Gonçalo,São Gonçalo,1,779.69
Cadeira Gamer,Móveis,2025-04-04,Loja Norte,Rio de Janeiro,5,6443.6
Impressora,Periféricos,2025-05-13,Loja Duque,Duque de Caxias,4,3761.95
HD Externo,Armazenamento,2024-09-05,Loja Sul,Rio de Janeiro,1,1874.16
Teclado,Acessórios,2025-11-11,Loja Petrópolis,Petrópolis,4,12038.64
HD Externo,Armazenamento,2025-03-09,Loja Norte,Rio de Janeiro,3,6339.99
Webcam,Periféricos,2023-09-02,Loja São Gonçalo,São Gonçalo,5,24159.89
Mesa Escritório,Móveis,2025-09-13,Loja Teresópolis,Teresópolis,4,362.82
Smartphone,Eletrônicos,2024-12-16,Loja Petrópolis,Petrópolis,3,3153.82
Cadeira Gamer,Móveis,2025-07-11,Loja Centro,Rio de Janeiro,2,8961.55
Notebook,Eletrônicos,2024-08-17,Loja Teresópolis,Teresópolis,3,4771.22
Teclado,Acessórios,2025-03-16,Loja Nova Iguaçu,Nova Iguaçu,5,24832.35
Notebook,Eletrônicos,2024-11-16,Loja Sul,Rio de Janeiro,2,6269.3
Tablet,Eletrônicos,2025-06-11,Loja Nova Iguaçu,Nova Iguaçu,3,527.89
Headset,Acessórios,2024-04-12,Loja Barra,Rio de Janeiro,3,13570.94
Mouse,Acessórios,2024-09-12,Loja Barra,Rio de Janeiro,2,9156.06
Mouse,Acessórios,2023-07-02,Loja Petrópolis,Petrópolis,5,15311.23
Tablet,Eletrônicos,2023-09-26,Loja São Gonçalo,São Gonçalo,4,10170.82
Pendrive,Armazenamento,2023-05-27,Loja Duque,Duque de Caxias,5,20232.43
Monitor,Eletrônicos,2023-01-14,Loja São Gonçalo,São Gonçalo,4,19662.31
Impressora,Periféricos,2025-01-09,Loja Duque,Duque de Caxias,2,4477.33
Headset,Acessórios,2023-09-15,Loja Centro,Rio de Janeiro,2,309.61
Smartwatch,Eletrônicos,2023-09-28,Loja Nova Iguaçu,Nova Iguaçu,1,2112.91
Headset,Acessórios,2025-11-28,Loja Centro,Rio de Janeiro,4,7091.0
Smartwatch,Eletrônicos,2025-05-27,Loja Petrópolis,Petrópolis,4,7779.92
Mesa Escritório,Móveis,2024-07-14,Loja Centro,Rio de Janeiro,4,3529.19
Teclado,Acessórios,2024-02-11,Loja Duque,Duque de Caxias,1,1095.86
Teclado,Acessórios,2024-05-09,Loja São Gonçalo,São Gonçalo,4,10923.59
Headset,Acessórios,2024-07-11,Loja Sul,Rio de Janeiro,1,2802.46
HD Externo,Armazenamento,2025-11-04,Loja Duque,Duque de Caxias,3,9431.54
Smartphone,Eletrônicos,2025-11-07,Loja Duque,Duque de Caxias,3,1549.02
Webcam,Periféricos,2024-04-08,Loja Norte,Rio de Janeiro,3,1233.58
Roteador,Redes,2023-02-25,Loja Nova Iguaçu,Nova Iguaçu,1,3425.07
Impressora,Periféricos,2023-02-10,Loja Norte,Rio de Janeiro,4,9831.64
Cadeira Gamer,Móveis,2023-03-25,Loja Nova Iguaçu,Nova Iguaçu,2,2950.99
Webcam,Periféricos,2025-06-27,Loja Duque,Duque de Caxias,5,2011.09
Smartwatch,Eletrônicos,2024-06-22,Loja Norte,Rio de Janeiro,1,4233.15
Mouse,Acessórios,2023-10-22,Loja Norte,Rio de Janeiro,5,7185.36
Teclado,Acessórios,2023-03-13,Loja Nova Iguaçu,Nova Iguaçu,4,8457.69
Smartwatch,Eletrônicos,2025-06-30,Loja São Gonçalo,São Gonçalo,3,13535.79
Cadeira Gamer,Móveis,2025-03-30,Loja Sul,Rio de Janeiro,5,15498.74
Smartwatch,Eletrônicos,2024-07-13,Loja Sul,Rio de Janeiro,3,649.71
Notebook,Eletrônicos,2023-03-20,Loja Barra,Rio de Janeiro,1,2255.11
Webcam,Periféricos,2023-01-25,Loja São Gonçalo,São Gonçalo,2,309.8
Cadeira Gamer,Móveis,2023-07-17,Loja Petrópolis,Petrópolis,3,1112.79
Smartphone,Eletrônicos,2024-08-09,Loja Duque,Duque de Caxias,2,6825.23
Impressora,Periféricos,2023-12-30,Loja Teresópolis,Teresópolis,1,1911.0
Webcam,Periféricos,2025-03-29,Loja Duque,Duque de Caxias,4,465.77
Cadeira Gamer,Móveis,2024-01-03,Loja Petrópolis,Petrópolis,1,141.93
Webcam,Periféricos,2025-03-26,Loja Barra,Rio de Janeiro,5,23249.7
Mouse,Acessórios,2024-08-19,Loja Niterói,Niterói,3,3141.7
Headset,Acessórios,2024-09-07,Loja Norte,Rio de Janeiro,4,17051.99
Mouse,Acessórios,2024-08-06,Loja Barra,Rio de Janeiro,3,9721.76
Pendrive,Armazenamento,2023-09-10,Loja Nova Iguaçu,Nova Iguaçu,5,12754.36
Notebook,Eletrônicos,2023-03-13,Loja São Gonçalo,São Gonçalo,2,8919.18
HD Externo,Armazenamento,2025-03-16,Loja Duque,Duque de Caxias,5,8047.65
Notebook,Eletrônicos,2023-04-16,Loja Norte,Rio de Janeiro,3,3688.57
Roteador,Redes,2023-01-02,Loja Nova Iguaçu,Nova Iguaçu,1,3376.97
Smartphone,Eletrônicos,2023-06-29,Loja Centro,Rio de Janeiro,5,8432.37
Tablet,Eletrônicos,2024-03-19,Loja Sul,Rio de Janeiro,5,2325.18
Roteador,Redes,2024-09-23,Loja Norte,Rio de Janeiro,1,133.76
Impressora,Periféricos,2025-07-13,Loja Teresópolis,Teresópolis,4,6860.93
Headset,Acessórios,2023-09-22,Loja São Gonçalo,São Gonçalo,4,15051.21
Tablet,Eletrônicos,2025-06-14,Loja Petrópolis,Petrópolis,2,7020.37
Notebook,Eletrônicos,2023-09-02,Loja Nova Iguaçu,Nova Iguaçu,4,8177.21
Smartwatch,Eletrônicos,2024-01-21,Loja Petrópolis,Petrópolis,3,3313.95
Notebook,Eletrônicos,2025-04-18,Loja Barra,Rio de Janeiro,1,3581.61
Tablet,Eletrônicos,2023-05-28,Loja São Gonçalo,São Gonçalo,3,14322.39
Mouse,Acessórios,2024-01-31,Loja Petrópolis,Petrópolis,4,12309.22
Headset,Acessórios,2024-03-17,Loja Niterói,Niterói,5,12545.06
Smartwatch,Eletrônicos,2024-04-19,Loja Teresópolis,Teresópolis,4,1161.62
Mouse,Acessórios,2024-05-16,Loja Centro,Rio de Janeiro,4,11782.84
Mesa Escritório,Móveis,2023-01-26,Loja Duque,Duque de Caxias,4,13410.82
Notebook,Eletrônicos,2025-04-16,Loja Petrópolis,Petrópolis,4,12458.04
Monitor,Eletrônicos,2023-09-24,Loja Duque,Duque de Caxias,3,4851.46
Smartwatch,Eletrônicos,2024-03-25,Loja São Gonçalo,São Gonçalo,5,24462.17
Teclado,Acessórios,2023-01-28,Loja Centro,Rio de Janeiro,4,1100.63
Impressora,Periféricos,2025-08-20,Loja Nova Iguaçu,Nova Iguaçu,2,2659.98
HD Externo,Armazenamento,2023-12-04,Loja Petrópolis,Petrópolis,3,3649.95
Pendrive,Armazenamento,2024-05-06,Loja Teresópolis,Teresópolis,4,6091.43
Notebook,Eletrônicos,2024-07-14,Loja Niterói,Niterói,5,17804.48
Tablet,Eletrônicos,2023-02-02,Loja Nova Iguaçu,Nova Iguaçu,5,13932.83
Notebook,Eletrônicos,2023-12-25,Loja Centro,Rio de Janeiro,2,4199.27
Cadeira Gamer,Móveis,2024-04-22,Loja Barra,Rio de Janeiro,4,11683.25
Webcam,Periféricos,2025-04-30,Loja Norte,Rio de Janeiro,4,15770.07
Smartphone,Eletrônicos,2024-08-10,Loja São Gonçalo,São Gonçalo,4,5878.89
HD Externo,Armazenamento,2023-11-10,Loja São Gonçalo,São Gonçalo,1,753.2
Mesa Escritório,Móveis,2025-04-11,Loja Barra,Rio de Janeiro,1,2201.31
Webcam,Periféricos,2023-03-13,Loja Teresópolis,Teresópolis,2,5360.47
Notebook,Eletrônicos,2025-09-06,Loja Duque,Duque de Caxias,3,11512.52
Cadeira Gamer,Móveis,2025-04-16,Loja Petrópolis,Petrópolis,2,7717.02
Monitor,Eletrônicos,2025-02-13,Loja Barra,Rio de Janeiro,3,14371.3
Webcam,Periféricos,2023-03-19,Loja Centro,Rio de Janeiro,2,8203.57
HD Externo,Armazenamento,2025-07-05,Loja Barra,Rio de Janeiro,4,19417.88
Monitor,Eletrônicos,2025-06-13,Loja Petrópolis,Petrópolis,4,19950.77
Pendrive,Armazenamento,2024-06-09,Loja Sul,Rio de Janeiro,2,5179.39
Mesa Escritório,Móveis,2024-01-31,Loja Sul,Rio de Janeiro,2,7906.96
Mesa Escritório,Móveis,2025-01-14,Loja São Gonçalo,São Gonçalo,3,13417.64
Headset,Acessórios,2024-11-30,Loja Niterói,Niterói,4,17886.08
Mouse,Acessórios,2025-10-08,Loja Duque,Duque de Caxias,2,7480.48
Cadeira Gamer,Móveis,2025-03-02,Loja Petrópolis,Petrópolis,1,4847.78
Cadeira Gamer,Móveis,2025-07-18,Loja Nova Iguaçu,Nova Iguaçu,3,2423.73
Impressora,Periféricos,2025-12-02,Loja São Gonçalo,São Gonçalo,2,1849.89
Cadeira Gamer,Móveis,2024-09-12,Loja Duque,Duque de Caxias,1,1478.9
Webcam,Periféricos,2025-11-25,Loja Barra,Rio de Janeiro,5,17520.48
Mesa Escritório,Móveis,2024-12-19,Loja Duque,Duque de Caxias,4,11274.18
Headset,Acessórios,2024-07-03,Loja Duque,Duque de Caxias,3,9075.23
HD Externo,Armazenamento,2025-11-27,Loja Niterói,Niterói,5,8259.33
Tablet,Eletrônicos,2024-05-31,Loja Duque,Duque de Caxias,4,3224.46
Roteador,Redes,2025-08-31,Loja Petrópolis,Petrópolis,3,14851.21
Monitor,Eletrônicos,2024-02-27,Loja Nova Iguaçu,Nova Iguaçu,2,4613.87
Impressora,Periféricos,2025-12-18,Loja Teresópolis,Teresópolis,2,1624.76
HD Externo,Armazenamento,2025-07-11,Loja Duque,Duque de Caxias,1,3401.56
Cadeira Gamer,Móveis,2023-03-28,Loja Petrópolis,Petrópolis,3,12549.3
Cadeira Gamer,Móveis,2025-09-20,Loja Teresópolis,Teresópolis,5,3835.11
Monitor,Eletrônicos,2025-10-01,Loja Petrópolis,Petrópolis,1,2151.92
Mouse,Acessórios,2025-04-19,Loja Niterói,Niterói,3,5627.91
Pendrive,Armazenamento,2024-11-03,Loja Nova Iguaçu,Nova Iguaçu,3,7931.96
Smartphone,Eletrônicos,2023-07-04,Loja Nova Iguaçu,Nova Iguaçu,3,3244.16
Monitor,Eletrônicos,2023-06-05,Loja Teresópolis,Teresópolis,3,7385.66
Teclado,Acessórios,2023-05-27,Loja Petrópolis,Petrópolis,1,3488.63
Roteador,Redes,2023-03-10,Loja Duque,Duque de Caxias,1,4251.33
Mesa Escritório,Móveis,2024-11-12,Loja Nova Iguaçu,Nova Iguaçu,4,12626.87
Mesa Escritório,Móveis,2023-02-20,Loja Norte,Rio de Janeiro,4,15974.83
Mouse,Acessórios,2025-04-26,Loja Sul,Rio de Janeiro,2,5333.44
Roteador,Redes,2023-10-06,Loja São Gonçalo,São Gonçalo,3,11877.46
Teclado,Acessórios,2024-01-02,Loja Sul,Rio de Janeiro,4,15377.83
Mouse,Acessórios,2025-10-02,Loja Petrópolis,Petrópolis,5,17897.53
Webcam,Periféricos,2023-06-26,Loja Duque,Duque de Caxias,5,11201.66
Impressora,Periféricos,2023-01-09,Loja Centro,Rio de Janeiro,4,17253.47
Roteador,Redes,2025-11-17,Loja Teresópolis,Teresópolis,3,13122.36
Tablet,Eletrônicos,2025-11-19,Loja Niterói,Niterói,2,8661.08
HD Externo,Armazenamento,2025-11-19,Loja Niterói,Niterói,5,1317.41
Smartwatch,Eletrônicos,2025-07-02,Loja São Gonçalo,São Gonçalo,4,6187.2
Monitor,Eletrônicos,2024-03-16,Loja Niterói,Niterói,5,20533.07
Smartwatch,Eletrônicos,2024-04-12,Loja Barra,Rio de Janeiro,1,4531.6
Headset,Acessórios,2023-01-23,Loja Niterói,Niterói,1,1517.68
Roteador,Redes,2024-01-01,Loja Duque,Duque de Caxias,4,9466.11
Impressora,Periféricos,2023-01-27,Loja Duque,Duque de Caxias,2,298.23
Pendrive,Armazenamento,2025-01-08,Loja Norte,Rio de Janeiro,2,9415.37
Monitor,Eletrônicos,2025-06-23,Loja Petrópolis,Petrópolis,4,17035.91
Pendrive,Armazenamento,2024-06-27,Loja São Gonçalo,São Gonçalo,2,3499.86
Tablet,Eletrônicos,2024-09-01,Loja São Gonçalo,São Gonçalo,4,18137.85
HD Externo,Armazenamento,2023-02-15,Loja Nova Iguaçu,Nova Iguaçu,4,2721.97
Teclado,Acessórios,2023-03-12,Loja Centro,Rio de Janeiro,1,98.81
Teclado,Acessórios,2025-07-26,Loja Niterói,Niterói,4,1685.44
Monitor,Eletrônicos,2024-01-15,Loja Sul,Rio de Janeiro,4,12591.76
Headset,Acessórios,2025-11-02,Loja Teresópolis,Teresópolis,3,5120.63
HD Externo,Armazenamento,2024-07-23,Loja Barra,Rio de Janeiro,4,11363.31
Mesa Escritório,Móveis,2024-12-05,Loja Norte,Rio de Janeiro,5,8299.22
Smartphone,Eletrônicos,2024-07-12,Loja São Gonçalo,São Gonçalo,5,22298.71
Headset,Acessórios,2023-02-06,Loja Petrópolis,Petrópolis,3,12044.97
Cadeira Gamer,Móveis,2025-11-17,Loja Nova Iguaçu,Nova Iguaçu,4,18242.46
Smartphone,Eletrônicos,2023-03-19,Loja Petrópolis,Petrópolis,2,6186.23
Teclado,Acessórios,2024-05-26,Loja Duque,Duque de Caxias,4,10588.83
HD Externo,Armazenamento,2025-11-05,Loja Niterói,Niterói,5,17141.7
Teclado,Acessórios,2023-04-15,Loja Petrópolis,Petrópolis,3,10801.36
Teclado,Acessórios,2025-03-28,Loja Centro,Rio de Janeiro,5,12255.12
Cadeira Gamer,Móveis,2025-11-17,Loja Teresópolis,Teresópolis,2,6906.27
Smartwatch,Eletrônicos,2025-04-16,Loja Sul,Rio de Janeiro,3,14059.82
Tablet,Eletrônicos,2025-01-20,Loja Teresópolis,Teresópolis,1,2867.25
Mouse,Acessórios,2025-03-30,Loja Barra,Rio de Janeiro,2,2819.02
Roteador,Redes,2025-10-02,Loja Teresópolis,Teresópolis,2,7176.63
Notebook,Eletrônicos,2024-12-18,Loja Niterói,Niterói,2,7149.97
Tablet,Eletrônicos,2023-04-28,Loja Petrópolis,Petrópolis,1,2096.69
Impressora,Periféricos,2023-01-27,Loja Petrópolis,Petrópolis,5,2070.37
Impressora,Periféricos,2025-02-13,Loja Nova Iguaçu,Nova Iguaçu,4,17525.68
Teclado,Acessórios,2023-10-23,Loja Duque,Duque de Caxias,1,123.6
Roteador,Redes,2025-01-22,Loja Duque,Duque de Caxias,1,564.86
Smartphone,Eletrônicos,2024-09-16,Loja Nova Iguaçu,Nova Iguaçu,5,20017.51
Smartwatch,Eletrônicos,2024-09-06,Loja São Gonçalo,São Gonçalo,5,20284.46
Smartwatch,Eletrônicos,2025-05-27,Loja Duque,Duque de Caxias,1,708.34
Teclado,Acessórios,2025-11-06,Loja Norte,Rio de Janeiro,5,20861.18
HD Externo,Armazenamento,2025-08-02,Loja Norte,Rio de Janeiro,2,5594.68
Tablet,Eletrônicos,2023-08-18,Loja Petrópolis,Petrópolis,2,7644.51
Mesa Escritório,Móveis,2025-03-03,Loja Nova Iguaçu,Nova Iguaçu,4,11653.95
Pendrive,Armazenamento,2025-04-25,Loja Norte,Rio de Janeiro,2,2387.78
Roteador,Redes,2025-10-30,Loja Barra,Rio de Janeiro,3,12791.18
Roteador,Redes,2023-07-12,Loja Nova Iguaçu,Nova Iguaçu,1,3188.3
Cadeira Gamer,Móveis,2025-05-06,Loja Niterói,Niterói,1,1089.16
Webcam,Periféricos,2023-01-13,Loja Barra,Rio de Janeiro,3,11690.84
Mesa Escritório,Móveis,2023-11-08,Loja Nova Iguaçu,Nova Iguaçu,5,16497.67
Monitor,Eletrônicos,2023-06-18,Loja Duque,Duque de Caxias,5,630.31
Monitor,Eletrônicos,2023-07-21,Loja Teresópolis,Teresópolis,2,7273.63
Notebook,Eletrônicos,2025-03-08,Loja Centro,Rio de Janeiro,2,1908.25
HD Externo,Armazenamento,2024-07-18,Loja Sul,Rio de Janeiro,5,17819.91
Webcam,Periféricos,2025-08-06,Loja Niterói,Niterói,1,3539.92
Roteador,Redes,2024-12-05,Loja Centro,Rio de Janeiro,5,9000.33
Mesa Escritório,Móveis,2024-07-24,Loja Norte,Rio de Janeiro,1,2503.88
Mouse,Acessórios,2025-03-09,Loja Niterói,Niterói,4,17797.18
Monitor,Eletrônicos,2024-03-01,Loja Barra,Rio de Janeiro,2,5073.79
Headset,Acessórios,2024-04-03,Loja Petrópolis,Petrópolis,3,10878.14
Mesa Escritório,Móveis,2023-03-25,Loja Teresópolis,Teresópolis,3,10784.5
Monitor,Eletrônicos,2024-07-29,Loja Petrópolis,Petrópolis,5,17754.88
Notebook,Eletrônicos,2023-11-14,Loja Niterói,Niterói,4,15320.21
Notebook,Eletrônicos,2025-09-12,Loja São Gonçalo,São Gonçalo,5,20971.69
Tablet,Eletrônicos,2024-05-09,Loja Teresópolis,Teresópolis,2,732.72
Headset,Acessórios,2025-04-14,Loja São Gonçalo,São Gonçalo,2,7788.25
Tablet,Eletrônicos,2023-10-08,Loja Teresópolis,Teresópolis,3,3953.84
Mouse,Acessórios,2024-12-15,Loja São Gonçalo,São Gonçalo,3,2465.13
Mouse,Acessórios,2023-07-11,Loja Nova Iguaçu,Nova Iguaçu,4,13396.11
Teclado,Acessórios,2023-11-03,Loja Norte,Rio de Janeiro,4,2313.78
Cadeira Gamer,Móveis,2025-05-19,Loja Teresópolis,Teresópolis,1,176.88
Tablet,Eletrônicos,2024-02-03,Loja Petrópolis,Petrópolis,3,14430.75
Smartphone,Eletrônicos,2024-03-11,Loja Petrópolis,Petrópolis,2,4076.74
Mesa Escritório,Móveis,2023-08-02,Loja Centro,Rio de Janeiro,4,2820.15
Impressora,Periféricos,2025-01-23,Loja Norte,Rio de Janeiro,2,9793.12
Pendrive,Armazenamento,2024-01-24,Loja Norte,Rio de Janeiro,3,11934.83
Roteador,Redes,2025-05-13,Loja Niterói,Niterói,4,16318.52
Monitor,Eletrônicos,2023-11-08,Loja Norte,Rio de Janeiro,1,624.29
Webcam,Periféricos,2024-04-20,Loja Centro,Rio de Janeiro,1,1021.62
Smartphone,Eletrônicos,2023-02-27,Loja Nova Iguaçu,Nova Iguaçu,2,6259.45
Notebook,Eletrônicos,2025-09-20,Loja Duque,Duque de Caxias,2,7421.91
Headset,Acessórios,2024-09-12,Loja Sul,Rio de Janeiro,4,8221.02
HD Externo,Armazenamento,2024-05-07,Loja Barra,Rio de Janeiro,3,6622.23
Headset,Acessórios,2023-10-21,Loja Barra,Rio de Janeiro,4,10370.32
Smartwatch,Eletrônicos,2024-06-14,Loja Sul,Rio de Janeiro,4,4842.09
Roteador,Redes,2023-07-08,Loja Teresópolis,Teresópolis,5,2524.43
HD Externo,Armazenamento,2023-09-03,Loja Sul,Rio de Janeiro,4,3227.16
Notebook,Eletrônicos,2024-05-26,Loja Teresópolis,Teresópolis,2,1365.75
Cadeira Gamer,Móveis,2023-03-20,Loja Sul,Rio de Janeiro,1,2714.06
Teclado,Acessórios,2023-09-17,Loja Barra,Rio de Janeiro,4,8353.28
Smartwatch,Eletrônicos,2023-12-26,Loja Duque,Duque de Caxias,5,21093.61
Tablet,Eletrônicos,2024-06-05,Loja Duque,Duque de Caxias,4,12262.61
HD Externo,Armazenamento,2024-10-31,Loja Norte,Rio de Janeiro,2,199.73
Roteador,Redes,2023-06-26,Loja Barra,Rio de Janeiro,2,8361.29
Mesa Escritório,Móveis,2023-08-18,Loja Centro,Rio de Janeiro,3,13113.29
Roteador,Redes,2023-02-24,Loja Barra,Rio de Janeiro,3,3252.0
Tablet,Eletrônicos,2025-05-02,Loja Duque,Duque de Caxias,4,17194.53
Teclado,Acessórios,2024-01-01,Loja Teresópolis,Teresópolis,1,1589.66
